"study_id","year","keywords","reference","abstract"
"dufour2009calculated",2009,"reciprocal giving, exchange, bartering, economics, primates","Dufour, V., Péle, M., Neumann, M., Thierry, B., & Call, J. (2009). Calculated reciprocity after all: computation behind token transfers in orang-utans. Biology Letters, 5(2), 172-175. doi:10.1098/rsbl.2008.0644.","Transfers and services are frequent in the animal kingdom. However, there is no clear evidence in animals that such transactions are based on weighing costs and benefits when giving or returning favours and keeping track of them over time (i.e. calculated reciprocity). We tested two orang-utans (Pongo pygmaeus abelii ) in a token-exchange paradigm, in which each individual could exchange a token for food with the experimenter but only after first obtaining the token from the other orang-utan. Each orang-utan possessed tokens valuable to their partner but useless to themselves. Both orangutans actively transferred numerous tokens (mostly partner-valuable) to their partner. One of the orang-utans routinely used gestures to request tokens while the other complied with such requests. Although initially the transfers were biased in one direction, they became more balanced towards the end of the study. Indeed, data on the last three series produced evidence of reciprocity both between and within trials. We observed an increase in the number and complexity of exchanges and alternations. This study is the first experimental demonstration of the occurrence of direct transfers of goods based on calculated reciprocity in non-human-primates."
"duguid2014coordination",2014,"coordination, Stag Hunt, communication, chimpanzees, children","Duguid, S., Wyman, E., Bullinger, A. F., Herfurth-Majstorovic, K., & Tomasello, M. (2014). Coordination strategies of chimpanzees and human children in a Stag Hunt game. Proceedings of the Royal Society B: Biological Sciences, 281(1796): 20141973. doi:10.1098/rspb.2014.1973.","Much of human cooperation takes place in mutualistic contexts in which the main challenge for individuals is how to coordinate decisions. In the current studies, we compared the abilities of chimpanzees and young children to coordinate with a partner in two versions of a Stag Hunt game. When risks were low (the hare was of low value) and information was cheap (the partner's behaviour was readily observable), partners of both species were able to successfully coordinate on the higher value stag more than 90% of the time. By contrast, when the risks were raised and observing the partner was more difficult, the chimpanzees became less successful, whereas the children compensated, and so remained highly successful, by communicating more often and more specifically. This pattern of results is consistent with the hypothesis that humans evolved unique skills of coordination and communication in the context of especially risky coordination problems."
"duguid2020strategies",2020,"cooperation, coordination, communication, chimpanzees, children","Duguid, S., Wyman, E., Grueneisen, S., & Tomasello, M. (2020). The strategies used by chimpanzees (Pan troglodytes) and children (Homo sapiens) to solve a simple coordination problem. Journal of Comparative Psychology, 134(4), 401-411. doi:10.1037/com0000220.","One of the challenges of collaboration is to coordinate decisions with others, and recent theories have proposed that humans, in particular, evolved skills to address this challenge. To test this hypothesis, we compared the coordination abilities of 4-year-old children and chimpanzees with a simple coordination problem. To retrieve a reward from a 'puzzle box', pairs of individuals were simply required to choose the same 1 of 4 options. If successful, they each received the same reward, so there were no conflicts of interest. Individuals were paired with multiple partners over time. Both species were able to coordinate, but there were marked differences in the way they did so. Children were able to coordinate quickly and flexibly, adjusting easily to new partners, suggesting an understanding of the coordination process. In contrast, chimpanzees took time to converge on a single solution with each new partner, with no gains across partners, suggesting that their coordination was based only on repeating successful past choices. Together, these results support the hypothesis that humans have evolved unique skills for coordinating decisions and actions with others in the pursuit of common interests."
"ebel2019innovative",2019,"Floating object task, Innovation, Primates, Social learning, Tool use","Ebel, S. J., Schmelz, M., Herrmann, E., & Call, J. (2019). Innovative problem solving in great apes: The role of visual feedback in the floating peanut task. Animal Cognition, 22(5), 791-805. doi:10.1007/s10071-019-01275-0.","Nonhuman great apes show remarkable behavioural flexibility. Some individuals are even able to use water as a tool: They spit water into a vertical tube to make a peanut float upwards until it comes into reach (floating peanut task; FPT). In the current study, we used the FPT to investigate how visual feedback, an end-state demonstration and a social demonstration affect task performance in nonhuman great apes in three experiments. Our results indicate that apes who had acquired the solution with a clear tube maintained it with an opaque one. However, apes starting with an opaque tube failed to solve the task. Additionally, facing the peanut floating on a water-filled tube (i.e., an end-state demonstration) promoted success independent on the availability of visual feedback. Moreover, experiencing how water was poured into the tube either by a human demonstrator or by a water tap that had been opened either by the ape or a human did not seem to be of further assistance. First, this study suggests that great apes require visual feedback for solving the FPT, which is no longer required after the initial acquisition. Second, some subjects benefit from encountering the end-state, a finding corroborating previous studies."
"ebel2020object",2020,"Colour preference, Object exploration, Primates, Sex differences, Shape preference","Ebel, S. J., Kopp, K. S., & Liebal, K. (2020). Object preferences in captive Sumatran orang-utans (Pongo abelii). Behavioural Processes, 170: 103993. doi:10.1016/j.beproc.2019.103993.","While preferences for perceptual features of objects are well studied in humans, little is known about this trait in other great apes. We therefore presented captive Sumatran orang-utans (Pongo abelii) with objects that differed in shape (spherical, cuboid), colour (red, green), or texture (hard, soft). Overall, orang-utans preferred spherical over cuboid and red over green objects. Soft objects were preferred over hard ones. However, this preference might be confounded by the decomposable characteristic of soft objects since the orang-utans often unwrapped them. This study shows object preferences in orang-utans similar to those in humans, suggesting that perceptual preferences for basic object features such as shape and colour may be shared across primate species"
"ebel2021prior",2021,"functional fixedness, object identity, Einstellung effect, tool use, self-control","Ebel, S. J., Völter, C. J., & Call, J. (2021). Prior experience mediates the usage of food items as tools in great apes (Pan paniscus, Pan troglodytes, Gorilla gorilla, and Pongo abelii).Journal of Comparative Psychology,135(1), 64-73.","Humans use tools with specific functions to solve tasks more efficiently. However, functional specialization often comes at a cost: It can hinder the production of actions that are not usually performed with those tools, thus resulting in a fixation effect (functional fixedness). Little is known about whether our closest living relatives, the nonhuman great apes, are vulnerable to this detrimental effect of experience. We examined whether great apes from 4 species (N _ 35) would become fixated on the familiar action with an object. More precisely, some subjects experienced a novel food item (grissini), either whole or broken into pieces, whereas others did not. Then, subjects faced a task that required them to use the food item to rake in an out-of-reach food reward. Results indicated that all 4 species could use a food item as a tool. Apes were more likely to do so in the first trial when they had not experienced the tool as food before, even though they tasted the food before using it as a tool. Orangutans and bonobos used the food item more often as a tool than chimpanzees. A preference test ruled out that performance was dependent on individual or species food preferences. Our results suggest that apes might have represented one object in two different ways (i.e., as “food” and as “tool”) and then became fixated on one of these two representations. However, it is unclear whether the fixation occurred because of the item’s prior function or its identity.."
"eckert2017great",2017,"comparative cognition, intuitive statistics, non-human primates, numerical cognition, probabilistic reasoning","Eckert, J., Rakoczy, H., & Call, J. (2017). Are great apes able to reason from multi-item samples to populations of food items? American Journal of Primatology, 79(10): e22693. doi:10.1002/ajp.22693.","Inductive learning from limited observations is a cognitive capacity of fundamental importance. In humans, it is underwritten by our intuitive statistics, the ability to draw systematic inferences from populations to randomly drawn samples and vice versa. According to recent research in cognitive development, human intuitive statistics develops early in infancy. Recent work in comparative psychology has produced first evidence for analogous cognitive capacities in great apes who flexibly drew inferences from populations to samples. In the present study, we investigated whether great apes (Pongo abelii, Pan troglodytes, Pan paniscus, Gorilla gorilla) also draw inductive inferences in the opposite direction, from samples to populations. In two experiments, apes saw an experimenter randomly drawing one multi-item sample from each of two populations of food items. The populations differed in their proportion of preferred to neutral items (24:6 vs. 6:24) but apes saw only the distribution of food items in the samples that reflected the distribution of the respective populations (e.g., 4:1 vs. 1:4). Based on this observation they were then allowed to choose between the two populations. Results show that apes seemed to make inferences from samples to populations and thus chose the population from which the more favorable (4:1) sample was drawn in Experiment 1. In this experiment, the more attractive sample not only contained proportionally but also absolutely more preferred food items than the less attractive sample. Experiment 2, however, revealed that when absolute and relative frequencies were disentangled, apes performed at chance level. Whether these limitations in apes’ performance reflect true limits of cognitive competence or merely performance limitations due to accessory task demands is still an open question."
"engelmann2012five",2012,,"Engelmann, J. M., Herrmann, E., & Tomasello, M. (2012). Five-year olds, but not chimpanzees, attempt to manage their reputations. PLoS One, 7(10): e48433. doi:10.1371/journal.pone.0048433.","Virtually all theories of the evolution of cooperation require that cooperators find ways to interact with one another selectively, to the exclusion of cheaters. This means that individuals must make reputational judgments about others as cooperators, based on either direct or indirect evidence. Humans, and possibly other species, add another component to the process: they know that they are being judged by others, and so they adjust their behavior in order to affect those judgments – so-called impression management. Here, we show for the first time that already preschool children engage in such behavior. In an experimental study, 5-year-old human children share more and steal less when they are being watched by a peer than when they are alone. In contrast, chimpanzees behave the same whether they are being watched by a groupmate or not. This species difference suggests that humans’ concern for their own self-reputation, and their tendency to manage the impression they are making on others, may be unique to humans among primates."
"engelmann2017social",2017,"inequity aversion, social disappointment, fairness, evolution, chimpanzees","Engelmann, J. M., Clift, J. B., Herrmann, E., & Tomasello, M. (2017). Social disappointment explains chimpanzees' behaviour in the inequity aversion task. Proceedings of the Royal Society B: Biological Sciences, 284(1861): 20171502. doi:10.1098/rspb.2017.1502.","Chimpanzees’ refusal of less-preferred food when an experimenter has previously provided preferred food to a conspecific has been taken as evidence for a sense of fairness. Here, we present a novel hypothesis—the social disappointment hypothesis—according to which food refusals express chimpanzees’ disappointment in the human experimenter for not rewarding them as well as they could have. We tested this hypothesis using a two-by two design in which food was either distributed by an experimenter or a machine and with a partner present or absent. We found that chimpanzees were more likely to reject food when it was distributed by an experimenter rather than by a machine and that they were not more likely to do so when a partner was present. These results suggest that chimpanzees’ refusal of less preferred food stems from social disappointment in the experimenter and not from a sense of fairness."
"forss2016cognitive",2016,,"Forss, S., Willems, E., Call, J., & van Schaik, C. (2016). Cognitive differences between orang-utan species: a test of the cultural intelligence hypothesis. Scientific Reports, 6, 30516. doi:10.1038/srep30516.","Cultural species can - or even prefer to - learn their skills from conspecifics. According to the cultural intelligence hypothesis, selection on underlying mechanisms not only improves this social learning ability but also the asocial (individual) learning ability. Thus, species with systematically richer opportunities to socially acquire knowledge and skills should over time evolve to become more intelligent. We experimentally compared the problem-solving ability of Sumatran orang-utans (Pongo abelii), which are sociable in the wild, with that of the closely related, but more solitary Bornean orangutans (P. pygmaeus), under the homogeneous environmental conditions provided by zoos. Our results revealed that Sumatrans showed superior innate problem-solving skills to Borneans, and also showed greater inhibition and a more cautious and less rough exploration style. This pattern is consistent with the cultural intelligence hypothesis, which predicts that the more sociable of two sister species experienced stronger selection on cognitive mechanisms underlying learning."
"greenberg2010chimpanzee",2010,"altruism, chimpanzee, cooperation, Pan troglodytes, solicitation","Greenberg, J. R., Hamann, K., Warneken, F., & Tomasello, M. (2010). Chimpanzee helping in collaborative and noncollaborative contexts. Animal Behaviour, 80(5), 873-880. doi:10.1016/j.anbehav.2010.08.008.","Chimpanzees, Pan troglodytes, help others in a variety of contexts. Some researchers have claimed that this only occurs when food is not involved and the recipient actively solicits help. In the current study, however, we found that chimpanzees often helped conspecifics obtain food in a pulling task with no solicitation whatsoever, in a situation in which, based on past experience, the conspecific’s desire for the food was apparent.We also assessed whether the collaborative context of the situation impacted helping rates. Specifically, we compared how often both partners obtained rewards when one partner needed the help of the other, who had already received a reward for free (helping without collaboration), and when one partner needed the other’s help after they had already begun collaborating (helping during collaboration). Partners provided assistance significantly more often in both of these helping conditions than in a control condition in which partners could provide unneeded help. However, unlike human children who have been tested in a similar task, chimpanzees did not help their partner more during (than without) collaboration. These results suggest that chimpanzees’ helping behaviour is more robust than previously believed, but at the same time may have different evolutionary roots from the helping behaviour of humans."
"grueneisen2017children",2017,,"Grüneisen, S., Duguid, S., Saur, H., & Tomasello, M. (2017). Children, chimpanzees, and bonobos adjust the visibility of their actions for cooperators and competitors. Scientific Reports, 7: 8504. doi:10.1038/s41598-017-08435-7.","Chimpanzees and bonobos are highly capable of tracking other’s mental states. It has been proposed, however, that in contrast to humans, chimpanzees are only able to do this in competitive interactions but this has rarely been directly tested. Here, pairs of chimpanzees or bonobos (Study 1) and 4-yearold children (Study 2) were presented with two almost identical tasks differing only regarding the social context. In the cooperation condition, players’ interests were matched: they had to make corresponding choices to be mutually rewarded. To facilitate coordination, subjects should thus make their actions visible to their partner whose view was partially occluded. In the competition condition, players’ interests were directly opposed: the partner tried to match the subject’s choice but subjects were only rewarded if they chose differently, so that they benefited from hiding their actions. The apes successfully adapted their decisions to the social context and their performance was markedly better in the cooperation condition. Children also distinguished between the two contexts, but somewhat surprisingly, performed better in the competitive condition. These findings demonstrate experimentally that chimpanzees and bonobos can take into account what others can see in cooperative interactions. Their social-cognitive skills are thus more flexible than previously assumed."
"halina2018goal",2018,,"Halina, M., Liebal, K., & Tomasello, M. (2018). The goal of ape pointing. PLoS One, 13(4): e0195182. doi:10.1371/journal.pone.0195182.","Captive great apes regularly use pointing gestures in their interactions with humans. However, the precise function of this gesture is unknown. One possibility is that apes use pointing primarily to direct attention (as in “please look at that”); another is that they point mainly as an action request (such as “can you give that to me?”). We investigated these two possibilities here by examining how the looking behavior of recipients affects pointing in chimpanzees (Pan troglodytes) and bonobos (Pan paniscus). Upon pointing to food, subjects were faced with a recipient who either looked at the indicated object (successful-look) or failed to look at the indicated object (failed-look). We predicted that, if apes point primarily to direct attention, subjects would spend more time pointing in the failed-look condition because the goal of their gesture had not been met. Alternatively, we expected that, if apes point primarily to request an object, subjects would not differ in their pointing behavior between the successful-look and failed-look conditions because these conditions differed only in the looking behavior of the recipient. We found that subjects did differ in their pointing behavior across the successful-look and failed-look conditions, but contrary to our prediction subjects spent more time pointing in the successful-look condition. These results suggest that apes are sensitive to the attentional states of gestural recipients, but their adjustments are aimed at multiple goals. We also found a greater number of individuals with a strong right-hand than left-hand preference for pointing."
"hanus2011chimpanzee",2011,"Problem-solving, Causal cognition, Chimpanzees, Arbitrary cues, Causal cues","Hanus, D., & Call, J. (2011). Chimpanzee problem-solving: contrasting the use of causal and arbitrary cues. Animal Cognition, 14(6), 871-878. doi:10.1007/s10071-011-0421-6.","Humans are able to benefit from a causally structured problem-solving context rather than arbitrarily structured situations. In order to better understand nonhuman causal cognition, it is therefore important to isolate crucial factors that might differentiate between events that follow a purely spatial and temporal contingency and those that hold a 'true' causal relationship. In the first of two experiments, chimpanzee subjects were required to detect a bottle containing juice from five opaque bottles of equal shape and size. In the causal condition, the juice bottle looked identical to the other four bottles, only it was much heavier than the others. In the arbitrary condition, the weight of all five bottles was identical, but the juice bottle was color-marked differently. Since bottle opening was made difficult (and therefore costly), the question was whether subject's manipulative behavior would be random or somehow influenced by the nature of the provided information. Our results show that subjects detected and opened the juice bottle significantly faster when weight was the discriminating feature (causal condition) compared to situations in which the discrimination was necessarily based on a color-cue (arbitrary condition). Experiment 2 ruled out the possibility of a general learning bias toward tactile rather than visual information in chimpanzees. When tested in a simple exchange paradigm that prevented any use of causal information, no predominance of a tactile cue (weight) over a visual cue (color) could be found. Furthermore—and in contrast to the causal condition in Experiment 1—no learning occurred during the course of Experiment 2, neither in the weight nor in the color condition. We therefore conclude that chimpanzees can more easily determine the content of an object based on its causal properties compared to situations in which the only available information is a pure arbitrary regularity. This supports the view that chimpanzees' causal cognition does not rely on mere perceptual information but also on structural abstraction about their physical environment."
"hanus2011comparing",2011,,"Hanus, D., Mendes, N., Tennie, C., & Call, J. (2011). Comparing the performances of apes (Gorilla gorilla, Pan troglodytes, Pongo pygmaeus) and human children (Homo sapiens) in the floating peanut task. PLoS ONE, 6(6): e19555. doi:10.1371/journal.pone.0019555.","Recently, Mendes et al. [1] described the use of a liquid tool (water) in captive orangutans. Here, we tested chimpanzees and gorillas for the first time with the same ‘‘floating peanut task.’’ None of the subjects solved the task. In order to better understand the cognitive demands of the task, we further tested other populations of chimpanzees and orangutans with the variation of the peanut initially floating or not. Twenty percent of the chimpanzees but none of the orangutans were successful. Additional controls revealed that successful subjects added water only if it was necessary to obtain the nut. Another experiment was conducted to investigate the reason for the differences in performance between the unsuccessful (Experiment 1) and the successful (Experiment 2) chimpanzee populations. We found suggestive evidence for the view that functional fixedness might have impaired the chimpanzees’ strategies in the first experiment. Finally, we tested how human children of different age classes perform in an analogous experimental setting. Within the oldest group (8 years), 58 percent of the children solved the problem, whereas in the youngest group (4 years), only 8 percent were able to find the solution"
"haun2006evolutionary",2006,,"Haun, D. B. M., Call, J., Janzen, G., & Levinson, S. C. (2006). Evolutionary psychology of spatial representations in the Hominidae. Current Biology, 16(17), 1736-1740. doi:10.1016/j.cub.2006.07.049.","Comparatively little is known about the inheritedprimate background underlying human cognition, the human cognitive ‘‘wildtype.’’ Yet it is possible to trace the evolution of human cognitive abilities and tendencies by contrasting the skills of our nearest cousins, not just chimpanzees, but all the extant great apes, thus showing what we are likely to have inherited from the common ancestor [1]. By looking at human infants early in cognitive development, we can also obtain insights into native cognitive biases in our species [2]. Here, we focus on spatial memory, a central cognitive domain. We show, first, that all nonhuman great apes and 1-year-old human infants exhibit a preference for place over feature strategies for spatial memory. This suggests the common ancestor of all great apes had the same preference. We then examine 3-year-old human children and find that this preference reverses. Thus, the continuity between our species and the other great apes is masked early in human ontogeny. These findings, based on both phylogenetic and ontogenetic contrasts, open up the prospect of a systematic evolutionary psychology resting upon the cladistics of cognitive preferences."
"haun2009great",2009,"Relational similarity, Great apes, Spatial cognition, Cognitive development, Cognitive evolution","Haun, D. B. M., & Call, J. (2009). Great apes’ capacities to recognize relational similarity. Cognition, 110(2), 147-159. doi:10.1016/j.cognition.2008.10.012.","Recognizing relational similarity relies on the ability to understand that defining object properties might not lie in the objects individually, but in the relations of the properties of various object to each other. This aptitude is highly relevant for many important human skills such as language, reasoning, categorization and understanding analogy and metaphor. In the current study, we investigated the ability to recognize relational similarities by testing five species of great apes, including human children in a spatial task. We found that all species performed better if related elements are connected by logico-causal as opposed to non-causal relations. Further, we find that only children above 4 years of age, bonobos and chimpanzees, unlike younger children, gorillas and orangutans display some mastery of reasoning by non-causal relational similarity. We conclude that recognizing relational similarity is not in its entirety unique to the human species. The lack of a capability for language does not prohibit recognition of simple relational similarities. The data are discussed in the light of the phylogenetic tree of relatedness of the great apes."
"haun2011great",2011,,"Haun, D. B. M., Nawroth, C., & Call, J. (2011). Great apes' risk-taking strategies in a decision making task. PLoS ONE, 6(12): e28801. doi:10.1371/journal.pone.0028801.","We investigate decision-making behaviour in all four non-human great ape species. Apes chose between a safe and a risky option across trials of varying expected values. All species chose the safe option more often with decreasing probability of success. While all species were risk-seeking, orangutans and chimpanzees chose the risky option more often than gorillas and bonobos. Hence all four species’ preferences were ordered in a manner consistent with normative dictates of expected value, but varied predictably in their willingness to take risks."
"heilbronner2008fruit",2008,"risk, decision making, chimpanzees, bonobos","Heilbronner, S. R., Rosati, A. G., Stevens, J. R., Hare, B., & Hauser, M. D. (2008). A fruit in the hand or two in the bush? Divergent risk preferences in chimpanzees and bonobos. Biology Letters, 4(3), 246-249. doi:10.1098/rsbl.2008.0081.","Human and non-human animals tend to avoid risky prospects. If such patterns of economic choice are adaptive, risk preferences should reflect the typical decision-making environments faced by organisms. However, this approach has not been widely used to examine the risk sensitivity in closely related species with different ecologies. Here, we experimentally examined risk-sensitive behaviour in chimpanzees (Pan troglodytes) and bonobos (Pan paniscus), closely related species whose distinct ecologies are thought to be the major selective force shaping their unique behavioural repertoires. Because chimpanzees exploit riskier food sources in the wild, we predicted that they would exhibit greater tolerance for risk in choices about food. Results confirmed this prediction: chimpanzees significantly preferred the risky option, whereas bonobos preferred the fixed option. These results provide a relatively rare example of risk-prone behaviour in the context of gains and show how ecological pressures can sculpt economic decision making."
"hepach2020help",2020,"children, chimpanzees, helping, paternalism, prosocial behaviour","Hepach, R., Benziad, L., & Tomasello, M. (2020). Chimpanzees help others with what they want; children help them with what they need. Developmental Science, 23(3): e12922. doi:10.1111/desc.12922.","Humans, including young children, are strongly motivated to help others, even paying a cost to do so. Humans’ nearest primate relatives, great apes, are likewise motivated to help others, raising the question of whether the motivations of humans and apes are the same. Here we compared the underlying motivation to help in human children and chimpanzees. Both species understood the situation and helped a conspecific in a straightforward situation. However, when helpers knew that what the other was requesting would not actually help her, only children gave her what she needed instead of giving her what she requested. These results suggest that both chimpanzees and human children help others but the underlying motivation for why they help differs. In comparison to chimpanzees, young children help in a paternalistic manner. The evolutionary hypothesis is that uniquely human socio-ecologies based on interdependent cooperation gave rise to uniquely human prosocial motivations to help others paternalistically."
"hepach2021chimpanzees",2021,"chimpanzees, helping, internal arousal, pupil dilation","Hepach, R., Vaish, A., Kano, F., Benziad, L., Call, J., & Tomasello, M. (2021). Chimpanzees’ (Pan troglodytes) internal arousal remains elevated if they cannot themselves help a conspecific. Journal of Comparative Psychology, 135(2), 196-207. doi:10.1037/com0000255.","Chimpanzees help conspecifics achieve their goals in instrumental situations, but neither their immediate motivation nor the evolutionary basis of their motivation is clear. In the current study, we gave chimpanzees the opportunity to instrumentally help a conspecific to obtain food. Following recent studies with human children, we measured their pupil diameter at various points in the process. Like young children, chimpanzees’ pupil diameter decreased soon after they had helped. However, unlike children, chimpanzees’ pupils remained more dilated upon watching a third party provide the needed help instead of them. Our interpretation is that chimpanzees are motivated to help others, and the evolutionary basis is direct or indirect reciprocity, as providing help oneself sets the conditions for a payback. This is in contrast to young children whose goal is to see others being helped—by whomever—presumably because their helping is not based on reciprocity."
"herrmann2006apes",2006,,"Herrmann, E., & Tomasello, M. (2006). Apes' and children's understanding of cooperative and competitive motives in a communicative situation. Developmental Science, 9(5), 518-529. doi:10.1111/j.1467-7687.2006.00519.x.","Chimpanzees (Pan troglodytes) and bonobos (Pan paniscus) (Study 1) and 18- and 24-month-old human children (Study 2) participated in a novel communicative task. A human experimenter (E) hid food or a toy in one of two opaque containers before gesturing towards the reward’s location in one of two ways. In the Informing condition, she attempted to help the subject find the hidden object by simply pointing to the correct container. In the Prohibiting condition, E held out her arm toward the correct container (palm out) and told the subject firmly ‘Don’t take this one.’ As in previous studies, the apes were at chance in the Informing condition. However, they were above chance in the new Prohibiting condition. Human 18-month-olds showed this same pattern of results, whereas 24-month-olds showed the opposite pattern: they were better in the Informing condition than in the Prohibiting condition. In our interpretation, success in the Prohibiting condition requires subjects to understand E’s goal toward them and their behavior, and then to make an inference (she would only prohibit if there were something good in there). Success in the Informing condition requires subjects to understand a cooperative communicative motive – which apparently apes and young infants find difficult."
"herrmann2019human",2019,"social comparison, fairness, cooperation","Herrmann, E., Haux, L. M., Zeidler, H., & Engelmann, J. M. (2019). Human children but not chimpanzees make irrational decisions driven by social comparison. Proceedings of the Royal Society of London: B, Biological Sciences, 286(1894): 20182228. doi:10.1098/rspb.2018.2228.","Human evolutionary success is often argued to be rooted in specialized social skills and motivations that result in more prosocial, rational and cooperative decisions. One manifestation of human ultra-sociality is the tendency to engage in social comparison. While social comparison studies typically focus on cooperative behaviour and emphasize concern for fairness and equality, here we investigate the competitive dimension of social comparison: a preference for getting more than others, expressed in a willingness to maximize relative payoff at the cost of absolute payoff. Chimpanzees and human children (5–6- and 9–10-year-olds) could decide between an option that maximized their absolute payoff (but put their partner at an advantage) and an option that maximized their relative payoff (but decreased their own and their partner’s payoff). Results show that, in contrast to chimpanzees and young children, who consistently selected the rational and payoff-maximizing option, older children paid a cost to reduce their partner’s payoff to a level below their own. This finding demonstrates that uniquely human social skills and motivations do not necessarily lead to more prosocial, rational and cooperative decision-making."
"hribar2011great",2011,"Landmark use, Spatial encoding, Spatial cognition, Spatial memory, Spatial frames of reference, Spatial relations","Hribar, A., & Call, J. (2011). Great apes use landmark cues over spatial relations to find hidden food. Animal Cognition, 14(5), 623-635. doi:10.1007/s10071-011-0397-2.","We investigated whether chimpanzees, bonobos, and orangutans encoded the location of a reward hidden underneath one of three identical cups in relation to (1) the other cups in the array—i.e., the relative position of the baited cup within the array; or (2) the landmarks surrounding the cups—e.g., the edge of the table. Apes witnessed the hiding of a food reward under one of three cups forming a straight line on a platform. After 30 s, they were allowed to search for the reward. In three different experiments, we varied the distance of the cups to the edge of the platform and the distance between the cups. Results showed that both manipulated variables affected apes’ retrieval accuracy. Subjects’ retrieval accuracy was higher for the outer cups compared with the Middle cup, especially if the outer cups were located next to the platform’s edge. Additionally, the larger the distance between the cups, the better performance became."
"kanngiesser2010bonobos",2010,"Spatial memory, Cues, Spatial strategies, Great apes","Kanngiesser, P., & Call, J. (2010). Bonobos, chimpanzees, gorillas, and orang utans use feature and spatial cues in two spatial memory tasks. Animal Cognition, 13(3), 419-430. doi:10.1007/s10071-009-0291-3.","Animals commonly use feature and spatial strategies when remembering places of interest such as food sources or hiding places. We conducted three experiments with great apes to investigate strategy preferences and factors that may shape them. In the Wrst experiment, we trained 17 apes to remember 12 diVerent food locations on the Xoor of their sleeping room. The 12 food locations were associated with one feature cue, so that feature and spatial cues were confounded. In a single test session, we brought the cues into conXict and found that apes, irrespective of species, showed a preference for a feature strategy. In the second experiment, we used a similar procedure and trained 25 apes to remember one food location on a platform in front of them. On average, apes preferred to use a feature strategy but some individuals relied on a spatial strategy. In the Wnal experiment, we investigated whether training might inXuence strategy preferences. We tested 21 apes in the platform set-up and found that apes used both, feature and spatial strategies irrespective of training. We conclude that apes can use feature and spatial strategies to remember the location of hidden food items, but that task demands (e.g. diVerent numbers of search locations) can influence strategy preferences. We found no evidence, however, for the role of training in shaping these preferences."
"kanngiesser2011limits",2011,"endowment effect, biases, decision making, nonhuman primates, possession","Kanngiesser, P., Santos, L. R., Hood, B. M., & Call, J. (2011). The Limits of Endowment Effects in Great Apes (Pan paniscus, Pan troglodytes, Gorilla gorilla, Pongo pygmaeus). Journal of Comparative Psychology, 125(4), 436-445. doi:10.1037/a0024516.","The endowment effect describes the bias that people often value things that they possess more than things they do not possess. Thus, they are often reluctant to trade items in their possession for items of equivalent value. Some nonhuman primates appear to share this bias with humans, but it remains an open question whether they show endowment effects to the same extent as humans do. We investigated endowment effects in all four great ape species (Pan paniscus, Pan troglodytes, Gorilla gorilla, Pongo pygmaeus) by varying whether apes were endowed with food items (Experiment 1, N = 22) or tools that were instrumental in retrieving food (Experiment 2, N = 23). We first assessed apes' preferences for items of a pair and their willingness to trade items in their possession. We then endowed apes with one item of a pair and offered them to trade for the other item. Apes showed endowment effects for food, but not for tools. In Experiment 3, we endowed bonobos (N = 4) and orangutans (N = 5) with either one or 12 food items. Endowment effects did not differ between species and were not influenced by the number of endowed food items. Our findings suggest that endowment effects in great apes are restricted to immediate food gratification and remain unaffected by the quantity of food rewards. However, endowment effects do not seem to extend to other, nonconsumable possessions even when they are instrumental in retrieving food. In general, apes do not show endowment effects across a range of different commodities as humans typically do."
"kanngiesser2020children",2020,"apes, children, conflict, cooperation, ownership, social behaviour","Kanngiesser, P., Rossano, F., Frickel, R., Tomm, A., & Tomasello, M. (2020). Children, but not great apes, respect ownership. Developmental Science, 23(1): e12842. doi:10.1111/desc.12842.","Access to and control of resources is a major source of costly conflicts. Animals, under some conditions, respect what others control and use (i.e. possession). Humans not only respect possession of resources, they also respect ownership. Ownership can be viewed as a cooperative arrangement, where individuals inhibit their tendency to take others’ property on the condition that those others will do the same. We investigated to what degree great apes follow this principle, as compared to human children. We conducted two experiments, in which dyads of individuals could access the same food resources. The main test of respect for ownership was whether individuals would refrain from taking their partner's resources even when the partner could not immediately access and control them. Captive apes (N = 14 dyads) failed to respect their partner's claim on food resources and frequently monopolized the resources when given the opportunity. Human children (N = 14 dyads), tested with a similar apparatus and procedure, respected their partner's claim and made spontane- ous verbal references to ownership. Such respect for the property of others highlights the uniquely cooperative nature of human ownership arrangements."
"kano2011visual",2011,"Eye-tracking, Gap–overlap, Great ape, Saccade latency","Kano, F., Hirata, S., Call, J., & Tomonaga, M. (2011). The visual strategy specific to humans among hominids: A study using the gap–overlap paradigm. Vision Research, 51(23-24), 2348-2355. doi:10.1016/j.visres.2011.09.006.","Although an extensive body of literature exists on the cognitive underpinnings of gaze movements in macaques and humans, few studies have investigated this topic from a broader evolutionary perspective. This study used the gap–overlap paradigm to examine the timing of the gaze movements by four hominid species: humans, chimpanzees, gorillas, and orangutans. The saccade latency involved in shifting the gaze from central to peripheral stimuli was measured and compared under two conditions, gap and overlap. The central stimulus disappeared shortly before the onset of the peripheral stimulus under the gap condition, but it remained under the overlap condition. Although all species demonstrated similar saccade latencies under the gap condition, the species clearly differed from one another under the overlap condition, which may suggest their similar perceptual and motor mechanism of making a saccade on the one hand and their differential strategies for coping with the competition between two activities involving fixation and initiation of a saccade (i.e. central vs. peripheral visual stimuli) on the other hand. In particular, humans showed longer saccade latency under the overlap condition compared to the other great apes, which may reflect this species’ unique means of visual processing."
